Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000172037 LAMB2 AR
ENSG00000185909 KLHDC8B AR
ENSG00000233276 GPX1 AR
ENSG00000145020 AMT AR
ENSG00000173402 DAG1 AR
ENSG00000173540 GMPPB AR
ENSG00000183763 TRAIP AR
ENSG00000164078 MST1R AD
ENSG00000114349 GNAT1 AD,AR
ENSG00000114353 GNAI2 AD
ENSG00000114378 HYAL1 AR
ENSG00000068028 RASSF1 AR
ENSG00000004838 ZMYND10 AR
ENSG00000114388 NPRL2 AD
ENSG00000114738 MAPKAPK3 AD
ENSG00000243989 ACY1 AR
ENSG00000164087 POC1A AR
ENSG00000168237 GLYCTK AR
ENSG00000163930 BAP1 AD
ENSG00000055955 ITIH4 AD
ENSG00000163933 RFT1 AR
ENSG00000163932 PRKCD AR
ENSG00000163931 TKT AR
ENSG00000157388 CACNA1D AD,AR
ENSG00000114251 WNT5A AD
ENSG00000144730 IL17RD AD
ENSG00000163666 HESX1 AD,AR
ENSG00000157500 APPL1 AD
ENSG00000136068 FLNB AD,AR
ENSG00000163687 DNASE1L3 AR
ENSG00000168306 ACOX2 AR
ENSG00000163635 ATXN7 AD
ENSG00000144741 SLC25A26 AR
ENSG00000163378 EOGT AR
ENSG00000163380 LMOD3 AR
ENSG00000187098 MITF AD,AR
ENSG00000114861 FOXP1 AD
ENSG00000163421 PROK2 AD
ENSG00000114480 GBE1 AR
ENSG00000083937 CHMP2B AD
ENSG00000064835 POU1F1 AD,AR
ENSG00000184500 PROS1 AD,AR
ENSG00000169379 ARL13B AR
ENSG00000113966 ARL6 AR,DR
ENSG00000080819 CPOX AD
ENSG00000114354 TFG AD,AR
ENSG00000081148 IMPG2 AD,AR
ENSG00000174173 TRMT10C AR
ENSG00000153283 CD96 AR
ENSG00000151577 DRD3 AD
ENSG00000181722 ZBTB20 AD
ENSG00000031081 ARHGAP31 AD
ENSG00000163389 POGLUT1 AD,AR
ENSG00000113924 HGD AR
ENSG00000173226 IQCB1 AR
ENSG00000145103 ILDR1 AR
ENSG00000036828 CASR AD,AR
ENSG00000121552 CSTA AR
ENSG00000173175 ADCY5 AD
ENSG00000065534 MYLK AD
ENSG00000114491 UMPS AR
ENSG00000163848 ZNF148 AD
ENSG00000159650 UROC1 AR
ENSG00000073111 MCM2 AD
ENSG00000058262 SEC61A1 AD
ENSG00000179348 GATA2 AD
ENSG00000075785 RAB7A AD
ENSG00000177646 ACAD9 AR,Mi
ENSG00000169704 GP9 AR
ENSG00000169714 CNBP AD
ENSG00000163913 IFT122 AR
ENSG00000163914 RHO AD,AR
ENSG00000170893 TRH AR
ENSG00000017260 ATP2C1 AD
ENSG00000114686 MRPL3 AR,Mi
ENSG00000081307 UBA5 AR
ENSG00000113971 NPHP3 AR
ENSG00000170819 BFSP2 AD
ENSG00000091513 TF AR
ENSG00000174640 SLCO2A1 AR
ENSG00000182923 CEP63 AR
ENSG00000174611 KY AR
ENSG00000114054 PCCB AR
ENSG00000183770 FOXL2 AD
ENSG00000175110 MRPS22 AR,Mi
ENSG00000175054 ATR AD,AR
ENSG00000152952 PLOD2 AR
ENSG00000152977 ZIC1 AD
ENSG00000144891 AGTR1 Mu,AR
ENSG00000163754 GYG1 AR
ENSG00000047457 CP AR
ENSG00000163646 CLRN1 AR
ENSG00000169313 P2RY12 AR
ENSG00000196549 MME AD,AR
ENSG00000169359 SLC33A1 AD,AR
ENSG00000178053 MLF1 AD
ENSG00000168827 GFM1 AR,Mi
ENSG00000068885 IFT80 AR
ENSG00000090402 SI AR
ENSG00000163536 SERPINI1 AD
ENSG00000085276 MECOM AD
ENSG00000013293 SLC7A14 AR
ENSG00000163581 SLC2A2 AD,AR
ENSG00000154310 TNIK AR
ENSG00000121853 GHSR AD,AR
ENSG00000144962 SPATA16 AR
